user_id,productId,rating
hu1,991755013,1
hu1,1198560001,1
hu1,1239001004,1
hu1,1257558004,1
hu1,958110001,1
hu1,1265449001,1
hu1,1211579005,1
hu1,1255192003,1
hu1,1225185008,1
hu1,1254751003,1
hu2,991755013,1
hu2,1198560001,1
hu2,1239001004,1
hu2,1257558004,1
hu2,958110001,1
hu2,1265449001,1
hu2,1211579005,1
hu2,1255192003,1
hu2,1225185008,1
hu2,1254751003,1
hu3,991755013,1
hu3,1198560001,1
hu3,1239001004,1
hu3,1257558004,1
hu3,958110001,1
hu3,1265449001,1
hu3,1211579005,1
hu3,1255192003,1
hu3,1225185008,1
hu3,1254751003,1
hu4,991755013,1
hu4,1198560001,1
hu4,1239001004,1
hu4,1257558004,1
hu4,958110001,1
hu4,1265449001,1
hu4,1211579005,1
hu4,1255192003,1
hu4,1225185008,1
hu4,1254751003,1
hu5,991755013,1
hu5,1198560001,1
hu5,1239001004,1
hu5,1257558004,1
hu5,958110001,1
hu5,1265449001,1
hu5,1211579005,1
hu5,1255192003,1
hu5,1225185008,1
hu5,1254751003,1
