user_id,item_id,rating,conversation_id
u0,203371,1,391
u0,84779,1,391
u0,122159,1,391
u0,151313,1,391
u0,191602,1,391
u0,165710,1,391
u3,79320,1,397
u3,84001,1,397
u3,155969,1,397
u3,90950,1,397
u3,163606,0,397
u3,147598,1,397
u3,204292,1,397
u7,119144,1,407
u7,125431,1,407
u7,141788,1,407
u7,204331,1,407
u7,184418,1,407
u7,136632,1,407
u7,204334,1,411
u7,166736,1,411
u7,184418,1,411
u7,204331,1,411
u8,106388,1,415
u8,119144,1,415
u8,177160,1,415
u8,184418,1,415
u8,204331,1,415
u9,84001,1,418
u9,120349,1,418
u9,170119,1,418
u9,196336,1,418
u9,202190,1,418
u9,166069,1,418
u9,172109,1,418
u9,201231,1,418
u9,178950,1,418
u9,181097,1,418
u9,91332,1,418
u8,170119,1,419
u8,107673,1,419
u8,164311,1,419
u8,163231,1,419
u8,137985,1,419
u8,93013,0,419
u11,145338,1,426
u11,104253,1,426
u11,99324,1,426
u11,115463,1,426
u11,106388,1,426
u11,155969,1,426
u11,97819,1,426
u11,88487,1,426
u11,204341,1,426
u11,153918,0,426
u11,141524,1,426
u11,181097,1,426
u11,138962,1,426
u14,198619,1,455
u14,187879,1,455
u14,127676,1,455
u14,125431,0,455
u14,89839,1,458
u14,95660,1,458
u14,93013,1,458
u14,125954,0,458
u14,76177,1,458
u1,95660,1,459
u1,176293,1,459
u1,76177,1,459
u1,96329,1,459
u1,204292,1,459
u1,195902,1,461
u1,92826,1,461
u1,98623,0,461
u1,145463,1,461
u1,204292,1,461
u14,149916,1,462
u14,78186,1,462
u14,173333,0,462
u14,85665,1,462
u14,88960,1,463
u14,189705,1,463
u14,197200,1,463
u14,161385,1,463
u14,150451,1,463
u14,204292,0,463
u14,131830,1,464
u14,201744,1,464
u14,188057,1,464
u14,190445,0,464
u14,169012,1,465
u14,97819,0,465
u14,89770,1,465
u14,170119,1,465
u14,106388,1,466
u14,162930,1,466
u14,178927,0,466
u14,94474,1,466
u1,106388,0,467
u1,124485,1,467
u1,122172,1,467
u1,204292,1,467
u14,143259,1,468
u14,173785,1,468
u14,89839,1,468
u14,79385,0,468
u14,124485,0,469
u14,76177,1,469
u14,155843,1,469
u14,78186,1,469
u14,135895,1,469
u14,197111,0,470
u14,89770,1,470
u14,170119,1,470
u14,143198,1,470
u1,133232,1,471
u1,89839,1,471
u1,173086,0,471
u1,90692,1,471
u1,111776,1,471
u1,204292,1,471
u1,89770,1,474
u1,170119,1,474
u1,185171,1,474
u1,100454,1,474
u1,127513,0,474
u1,187028,0,474
u1,125431,1,474
u1,143062,1,474
u1,203424,1,474
u1,163704,0,474
u1,146741,1,474
u14,81385,1,475
u14,114851,1,475
u14,128167,0,475
u14,191375,1,475
u14,183056,1,475
u14,196460,1,477
u14,98746,1,477
u14,142321,1,477
u14,85612,0,477
u1,90950,1,480
u1,173843,0,480
u1,167623,1,480
u1,117515,1,480
u1,119116,1,480
u14,97819,0,481
u14,127676,1,481
u14,187028,1,481
u14,199888,1,481
u14,163704,1,481
u14,77161,1,481
u14,104180,0,482
u14,79278,1,482
u14,127328,1,482
u14,93310,1,482
u1,111918,1,484
u1,142910,1,484
u1,147250,1,484
u1,103291,1,484
u1,190953,1,484
u1,91481,1,484
u1,127328,1,485
u1,172129,1,485
u1,124268,1,485
u1,145997,1,485
u1,124461,1,485
u1,107350,1,485
u14,152818,1,487
u14,134346,1,487
u14,77161,1,487
u14,170501,1,487
u14,119295,0,487
u1,193034,1,502
u1,188155,1,502
u1,157590,1,502
u1,120602,1,502
u1,204292,1,502
u1,119144,1,507
u1,199751,1,507
u1,202130,1,507
u1,136632,1,507
u1,204292,1,507
u1,157190,1,507
u1,136632,1,512
u1,197213,1,512
u1,170305,1,512
u1,157190,1,512
u1,204292,1,512
u1,104180,1,513
u1,79278,1,513
u1,127328,1,513
u1,106887,1,513
u1,157190,1,513
u4,121179,1,514
u4,158208,1,514
u4,174475,1,514
u4,173785,1,514
u1,119144,1,516
u1,89770,1,516
u1,185171,1,516
u1,135508,1,516
u1,165710,1,516
u1,157190,1,516
u1,119144,1,518
u1,135508,1,518
u1,177276,1,518
u1,157190,1,518
u1,173785,1,519
u1,158208,1,519
u1,198742,1,519
u1,177276,1,519
u1,98088,1,519
u1,93013,1,519
u19,204899,1,522
u19,204334,1,522
u19,125431,1,522
u19,187028,1,522
u19,114341,1,522
u21,201476,1,533
u21,187028,1,533
u21,169419,1,533
u21,129362,1,533
u20,204334,0,538
u20,177160,0,538
u20,187028,1,538
u20,169419,0,538
u21,165261,1,540
u21,117623,0,540
u21,108137,1,540
u21,177441,0,540
u21,83766,1,540
u21,149519,1,542
u21,137162,0,542
u21,97819,1,542
u21,139878,1,542
u21,90486,1,542
u21,149519,1,543
u21,122278,1,543
u21,148231,1,543
u21,180527,1,543
u20,99583,0,544
u20,169419,0,544
u20,165308,1,544
u20,142186,0,544
u20,90950,1,544
u20,176494,0,544
u14,162794,0,554
u14,100493,1,554
u14,93013,1,554
u14,150451,1,554
u14,173785,1,554
u22,170501,1,556
u22,187028,1,556
u22,135508,1,556
u22,87867,1,556
u22,83192,1,556
u22,77161,1,556
u23,98433,1,557
u23,201259,0,557
u23,203424,1,557
u23,82602,1,557
u4,202175,1,558
u4,85764,1,558
u4,78418,1,558
u4,202130,1,558
u4,78340,1,558
u4,100030,1,560
u4,155989,1,560
u4,157394,1,560
u4,138962,1,560
u4,124461,1,561
u4,97819,1,561
u4,180970,1,561
u4,127676,1,561
u4,125517,1,561
u14,125284,1,563
u14,124708,1,563
u14,91366,1,563
u14,166466,1,563
u14,132752,1,563
u14,106707,1,563
u14,163510,1,567
u14,77798,1,567
u14,106588,1,567
u14,194583,0,567
u14,173843,1,569
u14,90950,1,569
u14,181929,1,569
u14,81162,0,569
u14,140066,1,570
u14,161385,1,570
u14,138962,1,570
u14,120948,1,570
u14,157263,1,570
u14,104391,1,571
u14,166941,1,571
u14,162882,0,571
u14,95750,1,571
u14,117840,1,573
u14,187028,1,573
u14,125431,1,573
u14,78186,0,573
u14,180231,1,573
u1,184098,1,575
u1,108389,1,575
u1,83552,1,575
u1,157590,1,575
u1,82602,1,575
u14,186271,0,579
u14,152847,1,579
u14,112902,1,579
u14,140998,1,579
u14,195012,1,579
u14,76829,1,579
u14,81385,1,582
u14,196498,1,582
u14,183056,1,582
u14,80208,0,582
u21,133249,1,583
u21,203371,1,583
u21,77707,1,583
u21,151418,1,583
u21,90950,1,583
u21,187554,1,585
u21,189950,1,585
u21,199993,1,585
u21,124377,1,585
u20,93683,1,586
u20,93402,1,586
u20,191297,1,586
u20,129362,1,586
u14,141578,1,588
u14,140122,1,588
u14,143198,1,588
u14,111488,1,588
u20,147934,1,589
u20,85036,1,589
u20,169376,1,589
u20,170376,1,589
u20,181769,0,589
u14,194808,1,590
u14,132973,0,590
u14,183459,1,590
u14,113921,1,590
u14,93489,1,593
u14,100070,1,593
u14,170305,1,593
u14,141788,1,593
u14,108278,1,595
u14,102417,1,595
u14,117122,1,595
u14,140973,1,595
u14,104477,1,595
u14,162930,1,595
u31,122278,1,596
u31,151299,1,596
u31,143189,1,596
u31,157590,1,596
u31,181070,1,596
u31,170376,1,596
u31,147934,1,599
u31,194966,1,599
u31,122278,1,599
u31,88936,1,599
u31,170376,1,599
u14,83105,1,600
u14,85036,0,600
u14,102116,0,600
u14,179438,1,600
u14,172088,1,600
u14,148904,1,600
u14,202374,1,600
u30,137023,1,601
u30,204292,1,601
u30,122278,0,601
u30,170376,1,601
u30,151299,1,601
u31,138962,0,602
u31,137023,1,602
u31,204292,1,602
u31,170376,1,602
u31,151299,1,602
u1,78491,1,603
u1,140336,1,603
u1,190418,1,603
u1,121179,1,603
u1,81702,1,603
u1,117881,1,603
u1,204292,1,603
u32,156484,1,606
u32,183251,1,606
u32,101775,1,606
u32,157590,1,606
u32,95389,1,606
u32,150887,1,606
u32,186461,1,606
u32,83192,1,606
u18,139730,1,609
u18,149363,1,609
u18,134843,1,609
u18,154137,1,609
u18,203424,1,609
u14,90418,1,610
u14,146771,1,610
u14,77798,1,610
u14,110605,1,610
u14,197244,1,610
u14,157190,1,610
u18,122021,1,611
u18,117364,1,611
u18,114756,0,611
u18,126337,1,611
u18,121751,1,611
u18,189406,1,611
u14,185171,1,612
u14,135508,1,612
u14,77161,1,612
u14,130591,1,612
u14,100614,1,613
u14,173785,1,613
u14,177112,1,613
u14,177276,1,613
u14,155989,1,613
u14,111918,1,613
u14,191205,1,613
u14,174475,1,613
u18,199680,1,614
u18,104180,1,614
u18,90950,1,614
u18,78807,1,614
u18,78340,1,614
u18,157190,1,614
u18,77376,1,615
u18,189950,1,615
u18,99715,1,615
u18,114560,1,615
u18,78719,1,615
u18,187310,1,615
u18,193627,1,615
u18,175196,1,615
u18,79385,1,615
u18,180728,1,615
u18,101264,1,615
u18,93521,0,615
u33,122278,0,616
u33,140336,1,616
u33,84007,0,616
u33,114932,1,616
u33,109743,0,616
u33,157221,0,616
u33,163704,0,616
u33,198772,1,616
u33,121148,1,616
u33,170277,1,616
u33,108565,1,616
u18,106317,1,619
u18,146962,1,619
u18,114231,1,619
u18,155467,0,619
u18,194237,1,619
u18,124848,1,619
u18,136877,1,619
u18,202409,1,619
u18,157190,1,619
u14,152744,1,620
u14,146962,1,620
u14,164128,1,620
u14,124708,1,620
u14,124582,1,620
u14,166941,1,620
u14,175843,0,620
u14,204292,0,620
u14,187274,1,622
u14,76356,1,622
u14,149829,1,622
u14,90950,0,622
u14,200318,0,622
u14,93521,1,622
u14,82602,1,622
u14,120948,1,624
u14,179569,0,624
u14,204033,1,624
u14,117271,1,624
u14,95533,1,624
u14,106132,1,624
u14,161385,1,624
u18,165484,1,626
u18,98699,1,626
u18,112719,1,626
u18,185171,1,626
u18,124848,1,626
u14,152744,1,627
u14,194253,1,627
u14,145997,1,627
u14,104180,0,627
u14,79278,1,627
u14,169617,1,627
u14,174489,1,627
u14,89109,1,627
u18,122278,1,628
u18,140395,1,628
u18,101264,1,628
u18,170376,1,628
u18,95121,1,628
u18,187310,1,629
u18,190210,1,629
u18,199734,1,629
u18,99049,1,629
u18,134885,1,629
u30,204390,1,630
u30,119144,1,630
u30,165281,1,630
u30,169419,1,630
u18,85764,1,632
u18,113600,1,632
u18,204391,1,632
u18,91395,1,632
u18,168664,1,632
u18,78340,1,632
u18,181715,1,632
u30,136632,1,633
u30,181299,1,633
u30,93013,1,633
u30,169419,1,633
u37,95893,1,654
u37,187310,1,654
u37,180527,1,654
u37,147934,1,654
u37,145728,1,654
u37,157190,1,654
u18,180527,1,657
u18,96844,1,657
u18,145728,1,657
u18,157190,1,657
u18,202190,1,659
u18,76012,1,659
u18,135508,1,659
u18,78418,1,659
u18,185171,1,659
u37,188480,1,661
u37,128761,1,661
u37,79451,1,661
u37,129751,1,661
u18,155969,1,663
u18,197213,1,663
u18,157190,1,663
u18,170376,1,663
u18,95893,1,663
u12,125624,1,664
u12,114851,1,664
u12,154993,1,664
u12,85423,1,664
u12,108063,1,668
u12,182960,1,668
u12,154993,1,668
u12,85423,1,668
u18,204012,1,669
u18,121902,1,669
u18,154993,1,669
u18,183631,1,669
u12,121902,1,671
u12,81232,1,671
u12,180771,1,671
u12,158461,1,671
u40,169012,0,672
u40,197111,0,672
u40,79968,1,672
u40,180771,1,672
u40,170119,0,672
u18,201476,1,674
u18,198619,1,674
u18,119144,1,674
u18,169419,1,674
u18,184418,1,674
u42,136632,1,681
u42,135508,1,681
u42,170376,1,681
u42,157190,1,681
u43,182781,1,710
u43,170376,1,710
u43,185171,1,710
u43,197213,1,710
u43,135508,1,710
u43,147204,1,710
u43,157190,1,710
u30,121902,1,718
u30,105230,1,718
u30,154993,1,718
u30,199451,1,718
u30,76508,1,722
u30,119144,1,722
u30,178984,1,722
u30,169419,1,722
u30,137985,1,722
u30,122278,0,734
u30,204292,1,734
u30,119144,1,734
u30,170376,1,734
u30,151299,1,734
u30,119144,1,735
u30,138962,1,735
u30,93013,1,735
u30,184098,1,735
u31,90165,1,736
u31,138962,1,736
u31,198742,1,736
u31,93013,1,736
u31,189349,1,737
u31,151299,1,737
u31,114327,1,737
u31,170376,1,737
u31,204292,1,737
u31,148871,1,738
u31,134885,1,738
u31,137023,1,738
u31,129362,1,738
u31,158903,1,738
u31,90766,1,738
u31,170119,1,742
u31,138962,1,742
u31,93013,1,742
u31,204292,1,742
u21,187028,1,762
u21,175707,1,762
u21,115463,1,762
u21,203822,1,762
u21,105300,1,763
u21,118402,1,763
u21,136810,1,763
u21,179631,1,763
u21,82321,1,764
u21,108137,1,764
u21,138354,1,764
u21,203424,1,764
u21,187310,1,766
u21,137821,1,766
u21,203371,1,766
u21,144468,1,766
u21,204409,1,767
u21,89659,1,767
u21,202588,1,767
u21,88484,1,767
u46,185171,0,768
u46,162466,1,768
u46,142664,1,768
u46,100599,0,768
u46,144752,1,768
u46,153346,0,768
u20,105563,0,769
u20,187879,1,769
u20,162466,1,769
u20,100599,0,769
u20,77161,1,769
u47,85612,1,770
u47,119144,1,770
u47,187028,0,770
u47,202681,1,770
u21,94687,1,776
u21,89659,1,776
u21,94750,1,776
u21,194583,0,776
u46,100614,1,777
u46,177276,1,777
u46,176542,1,777
u46,95199,1,777
u46,97255,1,777
u21,149519,1,778
u21,122278,1,778
u21,112346,1,778
u21,175522,1,778
u21,188057,1,778
u21,136632,0,779
u21,170305,1,779
u21,124024,1,779
u21,93083,1,779
u21,96835,1,780
u21,131630,1,780
u21,112346,1,780
u21,175522,1,780
u21,165812,1,780
u12,185171,1,781
u12,170119,1,781
u12,183631,1,781
u12,154993,1,781
u12,106388,1,782
u12,154993,1,782
u12,183631,0,782
u12,157190,0,782
u49,138962,1,783
u49,121902,1,783
u49,154993,1,783
u49,93013,1,783
u21,137674,1,784
u21,88141,1,784
u21,111540,1,784
u21,164944,1,784
u49,121902,1,785
u49,154993,1,785
u49,184418,1,785
u49,197200,1,785
u21,181028,1,786
u21,118402,1,786
u21,193005,1,786
u21,81135,0,786
u49,158006,1,787
u49,111429,1,787
u49,99583,1,787
u49,169419,1,787
u12,121902,1,788
u12,154993,1,788
u12,190543,1,788
u12,178331,1,788
u50,84273,1,790
u50,122278,1,790
u50,170376,1,790
u50,184418,1,790
u50,173785,1,790
u20,117122,1,791
u20,121902,1,791
u20,129676,1,791
u20,175946,1,791
u49,158208,1,793
u49,184418,1,793
u49,154993,1,793
u49,190543,1,793
u50,140066,1,794
u50,174475,1,794
u50,152497,1,794
u50,184418,1,794
u50,148120,1,794
u21,146581,1,795
u21,88484,1,795
u21,194583,0,795
u21,121148,1,795
u49,187310,1,796
u49,194966,1,796
u49,122278,1,796
u49,175096,1,796
u49,184418,1,796
u21,202339,1,797
u21,111540,1,797
u21,162882,1,797
u21,165636,1,797
u49,155969,1,798
u49,187028,1,798
u49,153346,1,798
u49,184418,1,798
u49,185171,1,798
u21,204409,1,799
u21,187028,1,799
u21,204419,1,799
u21,194966,1,799
u21,141524,1,803
u21,138962,1,803
u21,159077,1,803
u21,122172,1,803
u21,120171,1,804
u21,105792,1,804
u21,104589,1,804
u21,142758,1,804
u20,204409,1,806
u20,122278,1,806
u20,142376,1,806
u20,204419,1,806
u20,178984,1,806
u21,138482,1,807
u21,133249,1,807
u21,77707,1,807
u21,170871,1,807
u21,102073,1,808
u21,188060,1,808
u21,134366,1,808
u21,133138,1,808
u21,168188,1,809
u21,114984,0,809
u21,203371,1,809
u21,83236,1,809
u21,137804,1,810
u21,77945,1,810
u21,83236,1,810
u21,119409,1,810
u21,92018,0,810
u21,204435,1,811
u21,198327,1,811
u21,137143,1,811
u21,119409,1,811
u21,158876,1,811
u30,121902,1,816
u30,130287,1,816
